Grunerite    (Fe6.1 Mg.9) Si8 O23.5 F.5
H         2.194
O        34.820
 
Burtite    Ca Sn H6 O6
Ca       15.365
Sn       45.512
H         2.319
O        36.804
 
Fluoro-magnesio-aluminokatophorite    (Si7.44 Al.56) Mg5.06 Na1.8 Ca1.68 O22 F2
Si       24.707
Al        1.787
Mg       14.541
Na        4.893
Ca        7.961
O        41.619
F         4.493
 
Fluoro-magnesio-aluminokatophorite    (Si7.2 Al.8) (Mg4.15 Sc.85) Na2.76 Ca.98 O22 F2
Si       23.635
Al        2.523
Mg       11.789
Sc        4.466
Na        7.416
Ca        4.591
O        41.140
F         4.441
 
Fluoro-magnesio-aluminokatophorite    Si7.04 Al.53 Ga.68 Mg4.81 Na2 Ca1.72 O22 F2
Si       22.437
Al        1.623
Ga        5.380
Mg       13.266
Na        5.218
Ca        7.822
O        39.942
F         4.312
 
Pargasite    Si6 Al1.89 Ga1.01 Mg4.1 Ca2.21 Na1.62 O22 F2
Si       18.612
Al        5.632
Ga        7.778
Mg       11.007
Ca        9.783
Na        4.114
O        38.877
F         4.197
 
Scapolite    (Na3.12 K.04 Ca.84) Si8.32 Al3.68 S.03 Cl.84 O24.24
Na        8.355
K         0.182
Ca        3.921
Si       27.219
Al       11.566
S         0.112
Cl        3.469
O        45.175
 
Scapolite    (Na2.92 K.16 Ca.92) Si8.32 Al3.68 (Cl.82 S.18) O24.72
Na        7.685
K         0.716
Ca        4.221
Si       26.749
Al       11.366
Cl        3.328
S         0.661
O        45.275
 
Scapolite    (Na2.64 K.24 Ca1.12) Si8.16 Al3.84 Cl.7 S.1 C.12 O25.84
Na        6.815
K         1.054
Ca        5.040
Si       25.732
Al       11.633
Cl        2.786
S         0.360
C         0.162
O        46.419
 
Scapolite    Na2.4 K.2 Ca1.32 Si8.08 Al3.92 Cl.58 S.13 O24.52
Na        6.374
K         0.903
Ca        6.111
Si       26.216
Al       12.219
Cl        2.375
S         0.482
O        45.320
 
Scapolite    Na2 K.08 Ca1.84 Si7.76 Al4.24 Cl.47 S.09 C.24 O27.24
Na        5.034
K         0.342
Ca        8.073
Si       23.859
Al       12.524
Cl        1.824
S         0.316
C         0.316
O        47.712
 
Scapolite    Na1.52 K.16 Ca2.24 Si7.44 Al4.56 (Cl.28 S.57 C.15) O28.08
Na        3.709
K         0.664
Ca        9.528
Si       22.177
Al       13.058
Cl        1.054
S         1.940
C         0.191
O        47.681
 
Davyne    Si3 Al3 O13.53 Ca1.57 Cl1.134 Na2.43 C.39 S.09
Si       15.369
Al       14.765
O        39.485
Ca       11.477
Cl        7.333
Na       10.190
C         0.854
S         0.526
 
Thomasclarkite-(Y)    Na Y C O12 H15
Na        6.945
Y        26.858
C         3.628
O        58.001
H         4.567
 
Tienshanite    Ba6 Ti12 Mn6 Ca2 K Na12 Si36 B12 O123 F2
Ba       15.635
Ti       10.902
Mn        6.255
Ca        1.521
K         0.742
Na        5.235
Si       19.185
B         2.462
O        37.342
F         0.721
 
Vuonnemite    Si4 P2 Nb2 Ti2 Na11 O26
Si        9.988
P         5.508
Nb       16.521
Ti        8.514
Na       22.484
O        36.985
 
Vuonnemite    Si4 P2 Nb2 Ti2 Na11 O26
Si        9.988
P         5.508
Nb       16.521
Ti        8.514
Na       22.484
O        36.985
 
Lizardite-1T    Mg3 Si2 H4 O9
Mg       26.312
Si       20.270
H         1.455
O        51.963
 
Lizardite-1T    Mg3 Si2 O9
Mg       26.701
Si       20.569
O        52.730
 
Lizardite-1T    Mg3 Si2 H4 O9
Mg       26.312
Si       20.270
H         1.455
O        51.963
 
Lizardite-2H1    Mg3 Si2 H4 O9
Mg       26.312
Si       20.270
H         1.455
O        51.963
 
Lizardite-2H1    Mg3 Si2 O9
Mg       26.701
Si       20.569
O        52.730
 
Lizardite-2H1    Mg3 Si2 H4 O9
Mg       26.312
Si       20.270
H         1.455
O        51.963
 
Antigorite    Mg48 Si34 (O147 H62)
Mg       25.720
Si       21.052
O        51.850
H         1.378
 
Jamesite    Pb4 As4 Zn2.2 Fe4.8 O26 H10
Pb       42.147
As       15.240
Zn        7.316
Fe       13.632
O        21.154
H         0.513
 
Betpakdalite    Mo8 As2 Fe3 Mg Ca2 O60 H74
Mo       34.512
As        6.738
Fe        7.534
Mg        1.093
Ca        3.604
O        43.165
H         3.354
 
Esperanzaite    As2 Ca2 Al2 Na.68 F4 (O11 H5)
As       26.920
Ca       14.400
Al        9.695
Na        2.809
F        13.653
O        31.618
H         0.905
 
Wooldridgeite    Ca Na2 Cu2 P4 O24 H20
Ca        5.407
Na        6.203
Cu       17.147
P        16.716
O        51.807
H         2.720
 
Nacaphite    (Na10 Ca5) P5 O20 F5
Na       22.987
Ca       20.036
P        15.485
O        31.994
F         9.498
 
Edoylerite    Hg3 Cr S2 O4
Hg       76.963
Cr        6.650
S         8.202
O         8.185
 
Poyarkovite    Hg3 Cl O
Hg       92.123
Cl        5.427
O         2.449
 
Phlogopite    (K.92 Na.08) (Mg1.62 Fe1.23 Ti.09 Mn.06) (Si2.98 Al1.02) O11.06 F.94 H2
K         7.794
Na        0.399
Mg        8.531
Fe       14.884
Ti        0.934
Mn        0.714
Si       18.134
Al        5.963
O        38.341
F         3.869
H         0.437
 
Phlogopite    K.92 Na.04 Mg1.56 Fe1.17 Ti.144 Mn.06 Si2.972 Al1.004 O11.06 F.94 H2
K         7.859
Na        0.201
Mg        8.284
Fe       14.275
Ti        1.506
Mn        0.720
Si       18.236
Al        5.918
O        38.659
F         3.902
H         0.440
 
Phlogopite    K.82 Na.115 Mg2.28 Al1.711 Fe.12 Si2.784 O11.932 F.068 H2
K         7.718
Na        0.636
Mg       13.341
Al       11.114
Fe        1.613
Si       18.823
O        45.958
F         0.311
H         0.485
 
Phlogopite    K.82 Na.115 Mg2.28 Al1.711 Fe.12 Si2.784 O11.932 F.068 H2
K         7.718
Na        0.636
Mg       13.341
Al       11.114
Fe        1.613
Si       18.823
O        45.958
F         0.311
H         0.485
 
Phlogopite    K.82 Na.115 Mg2.28 Al1.711 Fe.12 Si2.784 O11.932 F.068 H2
K         7.718
Na        0.636
Mg       13.341
Al       11.114
Fe        1.613
Si       18.823
O        45.958
F         0.311
H         0.485
 
Phlogopite    K.82 Na.115 Mg2.28 Al1.711 Fe.12 Si2.784 O11.932 F.068 H2
K         7.718
Na        0.636
Mg       13.341
Al       11.114
Fe        1.613
Si       18.823
O        45.958
F         0.311
H         0.485
 
Choloalite    Te6 (Cu2.79 Sb.21) (Pb2.7 Ca.3) O18 Cl.92
Te       41.150
Cu        9.529
Sb        1.374
Pb       30.069
Ca        0.646
O        15.479
Cl        1.753
 
Vesuvianite    Ca10 Mg1.67 Fe.89 Al4.36 Ti.08 Si9 O38.28 F.72 H5
Ca       26.781
Mg        2.712
Fe        3.321
Al        7.861
Ti        0.256
Si       16.891
O        40.926
F         0.914
H         0.337
 
Darapiosite    (Mn1.46 Zr.28 Y.22 Mg.04) Na1.22 K1.36 Si12 (Li1.53 Zn1.14 Fe.33) O30
Mn        7.110
Zr        2.264
Y         1.734
Mg        0.086
Na        2.486
K         4.714
Si       29.875
Li        0.941
Zn        6.608
Fe        1.634
O        42.548
 
Hanawaltite    Hg7 Cl2 O3
Hg       92.193
Cl        4.656
O         3.151
 
Bideauxite    Pb2 Ag Cl3 O F H.36
Pb       62.411
Ag       16.246
Cl       16.018
O         2.410
F         2.861
H         0.055
 
Bideauxite    Pb2 Ag Cl3 O F H.36
Pb       62.411
Ag       16.246
Cl       16.018
O         2.410
F         2.861
H         0.055
 
Kettnerite    Ca Bi C O4 F
Ca       11.648
Bi       60.739
C         3.491
O        18.600
F         5.522
 
Rutherfordine    U C O5
U        72.122
C         3.639
O        24.239
 
Ludwigite    Mg1.707 Fe1.214 Al.08 B O5
Mg       20.513
Fe       33.521
Al        1.067
B         5.345
O        39.553
 
Walfordite    Fe.59 Te3.28 Ti.08 Mg.05 O8
Fe        5.637
Te       71.602
Ti        0.655
Mg        0.208
O        21.898
 
Sidpietersite    Pb4 S2 O7 H2
Pb       82.308
S         6.369
O        11.122
H         0.200
 
Cs3[(UO2)12O7(OH)13](H2O)3    U12 Cs3 O47 H19
U        70.944
Cs        9.903
O        18.677
H         0.476
 
Calciotantite    (Ta2.821 Nb1.179) Ca O11
Ta       61.055
Nb       13.101
Ca        4.794
O        21.050
 
Foitite    Na.414 Ca.002 K.002 (Fe1.71 Al6.99 Mg.3) Si6 B2.88 H4 O30.89 F.11
Na        0.951
Ca        0.008
K         0.008
Fe        9.540
Al       18.840
Mg        0.728
Si       16.833
B         3.110
H         0.403
O        49.370
F         0.209
 
Ferrokinoshitalite    (Ba.56 K.39 Na.05) (Fe1.95 Mg.78 Mn.09 Ti.18) (Si2.44 Al1.56) O11.36 F.64 H2
Ba       14.208
K         2.817
Na        0.212
Fe       20.120
Mg        3.502
Mn        0.913
Ti        1.592
Si       12.661
Al        7.776
O        33.579
F         2.246
H         0.372
 
Coskrenite-(Ce)    (Ce.53 Nd.28 La.1 Pr.045 Sm.02 Eu.015 Gd.005 Y.005) S C O10 H7
Ce       21.066
Nd       11.457
La        3.940
Pr        1.799
Sm        0.853
Eu        0.647
Gd        0.223
Y         0.126
S         9.096
C         3.407
O        45.385
H         2.001
 
Schuilingite-Nd    Pb Nd.24 Y.16 La.04 Pr.03 Sm.12 Eu.06 Gd.18 Tb.02 Dy.13 Er.03 Yb.01 Cu.92 C3 O11 H3
Pb       33.107
Nd        5.531
Y         2.273
La        0.888
Pr        0.675
Sm        2.883
Eu        1.457
Gd        4.523
Tb        0.508
Dy        3.375
Er        0.802
Yb        0.276
Cu        9.341
C         5.757
O        28.120
H         0.483
 
Arakiite    Zn.71 Mn8.06 Fe1.26 Mg4.23 Al.74 As3 O34 H23
Zn        3.149
Mn       30.035
Fe        4.773
Mg        6.973
Al        1.354
As       15.246
O        36.898
H         1.572
 
Masuyite    U3 Pb1.05 O14 H5
U        61.523
Pb       18.744
O        19.298
H         0.434
 
Loparite-(Ce)    Na.54 La.09 Ce.17 Pr.01 Nd.03 Ca.09 Sr.04 (Ti.76 Nb.23 Ta.01) O3
Na        7.339
La        7.391
Ce       14.082
Pr        0.833
Nd        2.558
Ca        2.132
Sr        2.072
Ti       21.513
Nb       12.633
Ta        1.070
O        28.376
 
Loparite-(Ce)    Na.46 La.09 Ce.18 Pr.02 Nd.05 Ca.13 Sr.05 (Ti.87 Nb.13) O3
Na        6.234
La        7.369
Ce       14.866
Pr        1.661
Nd        4.251
Ca        3.071
Sr        2.582
Ti       24.554
Nb        7.119
O        28.292
 
Loparite-(Ce)    Na.31 La.1 Ce.15 Nd.03 Ca.07 Sr.3 Th.01 Ti.94 Nb.05 O3
Na        4.063
La        7.918
Ce       11.981
Nd        2.467
Ca        1.599
Sr       14.984
Th        1.323
Ti       25.656
Nb        2.648
O        27.361
 
Bijvoetite-(Y)    U16 Y4.22 Ce.152 Nd.767 Sm.678 Eu.188 Gd.678 Tb.112 Dy.782 Er.226 O135 C16
U        53.735
Y         5.294
Ce        0.300
Nd        1.561
Sm        1.438
Eu        0.403
Gd        1.504
Tb        0.251
Dy        1.793
Er        0.533
O        30.475
C         2.711
 
K5[(UO2)10O8(OH)9](H2O)    U10 K5 O38 H11
U        74.504
K         6.119
O        19.030
H         0.347
 
Curite    U4 Sr2 O16 H5
U        68.577
Sr       12.622
O        18.438
H         0.363
 
Diopside    Ca Mg Si2 O6
Ca       18.507
Mg       11.224
Si       25.939
O        44.330
 
Cu1.6Pb1.6Bi6.4S12    Pb3 Bi13 Cu2.87 S24
Pb       14.488
Bi       63.323
Cu        4.251
S        17.938
 
Henrymeyerite    (Ba.86 Na.09 K.01 La.02 Ce.02) Ti3.44 Fe.52 O8
Ba       26.369
Na        0.462
K         0.087
La        0.620
Ce        0.626
Ti       36.774
Fe        6.484
O        28.578
 
Niobokupletskite    Mn5.65 Na.63 Zn.67 (Nb1.8 Ti.2) Si8 K1.78 Rb.13 O30.5 H4
Mn       23.114
Na        1.079
Zn        3.262
Nb       12.453
Ti        0.713
Si       16.731
K         5.182
Rb        0.827
O        36.338
H         0.300
 
Normandite    (Ti.612 Zr.388) Mn (Ca.83 Na1.17) Si2 O8 F
Ti        7.652
Zr        9.242
Mn       14.346
Ca        8.686
Na        7.024
Si       14.667
O        33.422
F         4.961
 
Normandite    (Ti.876 Nb.124) Mn.784 Ca.936 Na1.28 Si2 O8 F
Ti       11.440
Nb        3.142
Mn       11.748
Ca       10.232
Na        8.026
Si       15.321
O        34.910
F         5.182
 
Yoshimuraite    Ba2 Mn2 (Ti.78 Fe.22) Si2.17 P.46 S.34 O13 H
Ba       37.662
Mn       15.067
Ti        5.121
Fe        1.685
Si        8.357
P         1.954
S         1.495
O        28.521
H         0.138
 
Franzinite    Si30 Al30 O196 S10 K15.32 Na15.4 H12
Si       13.872
Al       13.327
O        51.631
S         5.280
K         9.862
Na        5.829
H         0.199
 
Potassic-ferrisadanagaite    Si6.64 Al2.14 Fe3.22 Ti.19 Mg.6 Mn.25 Ca1.73 Na.55 K.66 O24
Si       19.564
Al        6.057
Fe       18.865
Ti        0.954
Mg        1.530
Mn        1.441
Ca        7.274
Na        1.326
K         2.707
O        40.282
 
Bandylite    Cu B O4 Cl H4
Cu       35.732
B         6.079
O        35.986
Cl       19.935
H         2.267
 
Umohoite    U Mo O8 H4
U        51.080
Mo       20.588
O        27.467
H         0.865
 
Curite    U4 Pb.786 O16 H5
U        69.194
Pb       11.836
O        18.604
H         0.366
 
Curite    U4 Pb.779 O16 H5
U        69.267
Pb       11.743
O        18.624
H         0.367
 
Curite    U4 Pb.768 O16 H5
U        69.382
Pb       11.596
O        18.654
H         0.367
 
Curite    U4 Pb.78 O16 H5
U        69.257
Pb       11.756
O        18.621
H         0.367
 
Curite    U4 Pb.766 O16 H5
U        69.403
Pb       11.569
O        18.660
H         0.367
 
Curite    U2 Pb.396 O8 H
U        69.284
Pb       11.941
O        18.628
H         0.147
 
Curite    U4 Pb.781 O16 H5
U        69.246
Pb       11.769
O        18.618
H         0.367
 
Curite    U4 Pb.784 O16 H5
U        69.215
Pb       11.809
O        18.609
H         0.366
 
Curite    U4 Pb.778 O16 H5
U        69.278
Pb       11.729
O        18.626
H         0.367
 
Curite    U4 Pb.751 O16 H5
U        69.561
Pb       11.369
O        18.702
H         0.368
 
Curite    U4 Pb.723 O16 H5
U        69.857
Pb       10.991
O        18.782
H         0.370
 
Curite    U4 Pb.755 O16 H5
U        69.519
Pb       11.422
O        18.691
H         0.368
 
Curite    U4 Pb.786 O16 H5
U        69.194
Pb       11.836
O        18.604
H         0.366
 
Curite    U4 Pb.761 O16 H5
U        69.456
Pb       11.503
O        18.674
H         0.368
 
Curite    U4 Pb.832 O16 H5
U        68.718
Pb       12.442
O        18.476
H         0.364
 
Fourmarierite    U4 Pb O19 H10
U        64.621
Pb       14.063
O        20.632
H         0.684
 
Fourmarierite    U4 Pb O19 H10
U        64.621
Pb       14.063
O        20.632
H         0.684
 
Fourmarierite    U4 Pb O19 H10
U        64.621
Pb       14.063
O        20.632
H         0.684
 
Fourmarierite    U4 Pb O19 H10
U        64.621
Pb       14.063
O        20.632
H         0.684
 
Fourmarierite    U4 Pb O19 H10
U        64.621
Pb       14.063
O        20.632
H         0.684
 
Fourmarierite    U4 Pb O19 H10
U        64.621
Pb       14.063
O        20.632
H         0.684
 
Fourmarierite    U4 Pb O19 H10
U        64.621
Pb       14.063
O        20.632
H         0.684
 
Fourmarierite    U4 Pb O19 H10
U        64.621
Pb       14.063
O        20.632
H         0.684
 
Fourmarierite    U4 Pb O19 H10
U        64.621
Pb       14.063
O        20.632
H         0.684
 
Fourmarierite    U4 Pb O19 H10
U        64.621
Pb       14.063
O        20.632
H         0.684
 
Fourmarierite    U4 Pb O19 H10
U        64.621
Pb       14.063
O        20.632
H         0.684
 
Fourmarierite    U4 Pb O19 H10
U        64.621
Pb       14.063
O        20.632
H         0.684
 
Fourmarierite    U4 Pb O19 H10
U        64.621
Pb       14.063
O        20.632
H         0.684
 
Boleite    K Pb26 Ag9 Cu24 Cl62 O48 H48
K         0.357
Pb       49.258
Ag        8.877
Cu       13.945
Cl       20.098
O         7.022
H         0.442
 
Juabite    Ca Cu10 Te4 As4 O34 H10
Ca        1.965
Cu       31.155
Te       25.023
As       14.693
O        26.670
H         0.494
 
Andyrobertsite    As5 Cu5 (Ca.428 Cd.426 Mn.146) K O22 H6
As       32.223
Cu       27.331
Ca        1.476
Cd        4.119
Mn        0.690
K         3.363
O        30.278
H         0.520
 
Bakhchisaraitsevite    (Mg4.472 Fe.528) P4 Na2 O23 H15
Mg       15.726
Fe        4.266
P        17.926
Na        6.653
O        53.242
H         2.187
 
Fluorapatite    (Ca4.417 Sr.583) P3 O12 F
Ca       33.274
Sr        9.602
P        17.466
O        36.088
F         3.571
 
Belovite-(Ce)    Ce1.833 Na2 Sr6 P6 O24 F2 Cl.021
Ce       17.871
Na        3.199
Sr       36.582
P        12.932
O        26.719
F         2.644
Cl        0.052
 
Iriginite    U Mo2 O12 H6
U        37.906
Mo       30.557
O        30.575
H         0.963
 
Sogdianite    Zr2 K Si12 Li3 O30
Zr       17.222
K         3.691
Si       31.814
Li        1.966
O        45.308
 
Olenite    Na.294 Ca.4 Si4.854 B4.062 Al8.424 Li.357 O30.94 F.06 H4
Na        0.724
Ca        1.718
Si       14.612
B         4.707
Al       24.362
Li        0.266
O        53.057
F         0.122
H         0.432
 
Diopside    Mg.86 Al.16 Fe.05 Ti.02 (Ca.96 Na.04) Si1.9 O6 H6
Mg        9.341
Al        1.929
Fe        1.248
Ti        0.428
Ca       17.194
Na        0.411
Si       23.847
O        42.900
H         2.703
 
Meionite    (Na1.12 K.2 Ca2.68) (Si7.12 Al4.88) O25.32 Cl.07 F.03 C.44
Na        2.906
K         0.883
Ca       12.122
Si       22.568
Al       14.860
O        45.720
Cl        0.280
F         0.064
C         0.596
 
Meionite    Na.76 K.04 Ca3.12 (Si6.8 Al5.2) O25.28 Cl.01 S.16 C.32
Na        1.965
K         0.176
Ca       14.063
Si       21.479
Al       15.779
O        45.489
Cl        0.040
S         0.577
C         0.432
 
Meionite    (Na.12 K.04 Ca3.84) (Si6.12 Al5.88) O25.4 Cl.01 S.02 C.44
Na        0.306
K         0.173
Ca       17.073
Si       19.068
Al       17.600
O        45.083
Cl        0.039
S         0.071
C         0.586
 
Meionite    Ca.96 (Si1.5 Al1.5) O6.39 C.13
Ca       17.110
Si       18.734
Al       17.998
O        45.464
C         0.694
 
Bazzite    (Sc1.52 Fe.48) Si6 Cs.1 O18.9 Na.44 Be3 H.26
Sc       11.080
Fe        4.346
Si       27.323
Cs        2.155
O        49.030
Na        1.640
Be        4.384
H         0.042
 
Bazzite    (Sc1.36 Fe.52 Al.12) Si6 Cs.14 O18.86 Na.36 (Be2.91 Li.09) H.26
Sc        9.898
Fe        4.702
Al        0.524
Si       27.282
Cs        3.012
O        48.852
Na        1.340
Be        4.246
Li        0.101
H         0.042
 
Vayrynenite    (Mn.774 Fe.226) P.988 Be O4.92 F.08 H.92
Mn       24.171
Fe        7.174
P        17.395
Be        5.123
O        44.745
F         0.864
H         0.527
 
Pb2(H2O)[(UO2)10UO12(OH)6(H2O)2]    U11 Pb2 O41 H14
U        70.712
Pb       11.192
O        17.716
H         0.381
 
Adamsite-(Y)    Y.72 Dy.06 Er.05 Gd.04 Nd.03 Yb.02 Sm.02 Ho.02 Ce.01 Tb.01 Tm.01 Na C2 O12 H4.89
Y        18.231
Dy        2.777
Er        2.382
Gd        1.791
Nd        1.232
Yb        0.986
Sm        0.856
Ho        0.939
Ce        0.399
Tb        0.453
Tm        0.481
Na        6.548
C         6.841
O        54.680
H         1.404
 
Bismutotantalite    (Bi.98 Sb.02) (Ta.89 Nb.11) O4
Bi       46.283
Sb        0.550
Ta       36.394
Nb        2.310
O        14.463
 
Bismutotantalite    (Bi.68 Sb.32) (Ta.89 Nb.11) O4
Bi       34.133
Sb        9.358
Ta       38.682
Nb        2.455
O        15.372
 
Sr2B5O9OH.H2O    Sr2 B5 O11 H2
Sr       43.024
B        13.271
O        43.209
H         0.495
 
Olshanskyite    Ca2 B3 O13 H13
Ca       24.021
B         9.720
O        62.332
H         3.927
 
Swedenborgite    Sb Na.89 Ca.04 Be4 O7
Sb       41.715
Na        7.011
Ca        0.549
Be       12.351
O        38.373
 
Malinkoite    Si B Na O4
Si       22.311
B         8.588
Na       18.263
O        50.839
 
Winchite    K.13 (Ca.66 Na1.34) Mg2.79 Fe1.92 Al.32 Ti.01 Mn.07 Si7.88 O23.77 F.23 H2
K         0.592
Ca        3.082
Na        3.589
Mg        7.900
Fe       12.492
Al        1.006
Ti        0.056
Mn        0.448
Si       25.784
O        44.307
F         0.509
H         0.235
 
Mitryaevaite    Al5 P4 O32.48 F2 H40
Al       15.746
P        14.461
O        60.653
F         4.435
H         4.706
 
Weeksite    U8 Si20 K4.96 Ca.48 Ba O72.12 H4.74
U        47.904
Si       14.131
K         4.879
Ca        0.484
Ba        3.455
O        29.028
H         0.120
 
Na6[(UO2)2O(MoO4)4]    U2 Mo4 Na6 O21
U        35.693
Mo       28.773
Na       10.342
O        25.191
 
Na6[(UO2)(MoO4)4]    U Mo4 Na6 O18
U        22.719
Mo       36.628
Na       13.166
O        27.487
 
K6[(UO2)2O(MoO4)4]    U2 Mo4 K6 O21
U        33.282
Mo       26.829
K        16.400
