Grunerite    (Fe6.1 Mg.9) Si8 O23.5 F.5
S        15.801
O        55.189
H         1.490
 
Aragonite    Ca C O3
Ca       40.043
C        12.001
O        47.956
 
Strontianite    Sr C O3
Sr       59.351
C         8.136
O        32.513
 
Witherite    Ba C O3
Ba       69.590
C         6.087
O        24.323
 
Aragonite    Ca C O3
Ca       40.043
C        12.001
O        47.956
 
Zircon    Zr Si O4
Zr       49.766
Si       15.322
O        34.913
 
Pyrope    Si3 Al2 Mg3 O12
Si       20.901
Al       13.386
Mg       18.087
O        47.626
 
Pyrope    Si3 (Al1.34 Cr.66) (Mg2.64 Fe.36) O12
Si       19.549
Al        8.389
Cr        7.962
Mg       14.888
Fe        4.665
O        44.547
 
Almandine    Si3 Al2 Fe2.58 Mg.27 Ca.12 O12
Si       17.349
Al       11.111
Fe       29.667
Mg        1.351
Ca        0.990
O        39.532
 
Spessartine    Si3 Al2 (Mn2.61 Fe.39) O12
Si       17.008
Al       10.893
Mn       28.945
Fe        4.397
O        38.757
 
Grossular    Si3 Al2 (Ca1.35 Fe.84 Mn.81) O12
Si       17.711
Al       11.343
Ca       11.373
Fe        9.861
Mn        9.354
O        40.358
 
Grossular    Si3 Al2 Ca3 O12
Si       18.705
Al       11.980
Ca       26.692
O        42.623
 
Uvarovite    Si3 (Cr1.73 Al.21 Fe.05 Ti.01) (Ca2.991 Mn.009) O12
Si       17.004
Cr       18.154
Al        1.143
Fe        0.564
Ti        0.097
Ca       24.192
Mn        0.100
O        38.747
 
Goldmanite    Si3 (V1.2 Al.48 Fe.32) (Ca2.91 Mg.09) O12
Si       17.301
V        12.552
Al        2.659
Fe        3.669
Ca       23.947
Mg        0.449
O        39.422
 
Andradite    Si3 Fe2 Ca3 O12
Si       16.580
Fe       21.979
Ca       23.660
O        37.781
 
Ferrosilite    Si2 Fe1.71 Mg.25 Ca.04 O6
Si       21.998
Fe       37.400
Mg        2.380
Ca        0.628
O        37.595
 
Pigeonite    (Mg.54 Fe.46) Si O3
Mg       11.423
Fe       22.359
Si       24.444
O        41.775
 
Legrandite    As Zn2 O6
As       24.833
