id,symbolA,family,transition,symbolB,incidentEnergy,weightFractionA,kRatio,takeoffAngle
305,Au,M,a,Ag,30.00,0.8005,0.7660,52.50
306,Au,M,a,Ag,40.00,0.8005,0.7610,52.50
307,Au,M,a,Ag,48.50,0.8005,0.7550,52.50
308,Ag,L,a,Au,5.00,0.1996,0.2230,52.50
309,Ag,L,a,Au,10.00,0.1996,0.1910,52.50
310,Ag,L,a,Au,20.00,0.1996,0.1440,52.50
311,Ag,L,a,Au,30.00,0.1996,0.1090,52.50
312,Ag,L,a,Au,40.00,0.1996,0.0887,52.50
313,Ag,L,a,Au,48.50,0.1996,0.0795,52.50
314,Ag,L,a,Au,5.00,0.3992,0.4360,52.50
315,Ag,L,a,Au,10.00,0.3992,0.3860,52.50
316,Ag,L,a,Au,20.00,0.3992,0.3090,52.50
317,Ag,L,a,Au,30.00,0.3992,0.2450,52.50
318,Ag,L,a,Au,40.00,0.3992,0.2080,52.50
319,Ag,L,a,Au,48.50,0.3992,0.1810,52.50
320,Ag,L,a,Au,5.00,0.5993,0.6240,52.50
321,Ag,L,a,Au,10.00,0.5993,0.5840,52.50
322,Ag,L,a,Au,20.00,0.5993,0.5040,52.50
323,Ag,L,a,Au,30.00,0.5993,0.4260,52.50
324,Ag,L,a,Au,40.00,0.5993,0.3750,52.50
325,Ag,L,a,Au,48.50,0.5993,0.3390,52.50
326,Ag,L,a,Au,5.00,0.7758,0.8070,52.50
327,Ag,L,a,Au,10.00,0.7758,0.7640,52.50
328,Ag,L,a,Au,20.00,0.7758,0.7060,52.50
329,Ag,L,a,Au,30.00,0.7758,0.6360,52.50
330,Ag,L,a,Au,40.00,0.7758,0.5860,52.50
331,Ag,L,a,Au,48.50,0.7758,0.5420,52.50
332,Cu,K,a,Au,15.00,0.1983,0.2540,52.50
333,Cu,K,a,Au,20.00,0.1983,0.2470,52.50
334,Cu,K,a,Au,25.00,0.1983,0.2400,52.50
335,Cu,K,a,Au,30.00,0.1983,0.2350,52.50
336,Cu,K,a,Au,40.00,0.1983,0.2180,52.50
337,Cu,K,a,Au,48.50,0.1983,0.2180,52.50
338,Cu,K,a,Au,15.00,0.3964,0.4800,52.50
339,Cu,K,a,Au,20.00,0.3964,0.4640,52.50
340,Cu,K,a,Au,25.00,0.3964,0.4530,52.50
341,Cu,K,a,Au,30.00,0.3964,0.4430,52.50
342,Cu,K,a,Au,40.00,0.3964,0.4160,52.50
343,Cu,K,a,Au,48.50,0.3964,0.4140,52.50
344,Cu,K,a,Au,15.00,0.5992,0.6760,52.50
345,Cu,K,a,Au,20.00,0.5992,0.6630,52.50
346,Cu,K,a,Au,25.00,0.5992,0.6510,52.50
347,Cu,K,a,Au,30.00,0.5992,0.6440,52.50
348,Cu,K,a,Au,40.00,0.5992,0.6160,52.50
349,Cu,K,a,Au,48.50,0.5992,0.6040,52.50
350,Cu,K,a,Au,15.00,0.7985,0.8510,52.50
351,Cu,K,a,Au,20.00,0.7985,0.8410,52.50
352,Cu,K,a,Au,25.00,0.7985,0.8340,52.50
353,Cu,K,a,Au,30.00,0.7985,0.8260,52.50
354,Cu,K,a,Au,40.00,0.7985,0.8150,52.50
355,Cu,K,a,Au,48.50,0.7985,0.8000,52.50
356,Au,L,a,Cu,15.00,0.2012,0.1450,52.50
357,Au,L,a,Cu,20.00,0.2012,0.1580,52.50
358,Au,L,a,Cu,25.00,0.2012,0.1540,52.50
359,Au,L,a,Cu,30.00,0.2012,0.1570,52.50
360,Au,L,a,Cu,48.50,0.2012,0.1520,52.50
361,Au,L,a,Cu,15.00,0.4010,0.3120,52.50
